=== 執行記錄開始: 2026-06-09T13:28:16.323548 ===
模式: DRY-RUN（乾跑）
runtime: k8s
目標: nextcloud/nextcloud-5659bc4574-fdwnl
使用者來源: occ user:list（未設定 ENV_NEXTCLOUD_*，改用容器內 occ）
透過 occ 取得 502 位使用者
排除 1 位: ['admin']
目標帳號數: 501
清檔模式: skeleton
quota: 0 B
其他設定: {'recommendations': {'enabled': '0'}, 'text': {'workspace_enabled': '0'}}
============================================================
複製腳本與設定到遠端...
已設定遠端檔案權限（owner=www-data）: /tmp/batch_provision.php, /tmp/batch_config.json
執行 batch_provision.php...
✓ CB4F75B8-922C-4C10-B977-75FC8150FA18 | 刪除 0 項 | quota=0 B | user_settings={'recommendations': {'enabled': '0'}, 'text': {'workspace_enabled': '0'}}
✓ A4B3E2AB-AEA1-43C8-A221-4C3B27689627 | 刪除 0 項 | quota=0 B | user_settings={'recommendations': {'enabled': '0'}, 'text': {'workspace_enabled': '0'}}
✓ 868D3241-0E62-4746-90B3-6B44EE78AD07 | 刪除 0 項 | quota=0 B | user_settings={'recommendations': {'enabled': '0'}, 'text': {'workspace_enabled': '0'}}
✓ 835A7719-F187-4983-A7D9-9D63A506A663 | 刪除 0 項 | quota=0 B | user_settings={'recommendations': {'enabled': '0'}, 'text': {'workspace_enabled': '0'}}
✓ 5E0C5B48-B251-421C-9062-D2C565F8E3E8 | 刪除 0 項 | quota=0 B | user_settings={'recommendations': {'enabled': '0'}, 'text': {'workspace_enabled': '0'}}
✓ 8882CE20-AF6E-4CEE-AD87-B42F7791CCAC | 刪除 0 項 | quota=0 B | user_settings={'recommendations': {'enabled': '0'}, 'text': {'workspace_enabled': '0'}}
✓ 6F08089E-904F-4118-9AB3-A23A78E71307 | 刪除 0 項 | quota=0 B | user_settings={'recommendations': {'enabled': '0'}, 'text': {'workspace_enabled': '0'}}
✓ 5D20D478-0AE2-4457-85BC-7CB6F0D0D17D | 刪除 0 項 | quota=0 B | user_settings={'recommendations': {'enabled': '0'}, 'text': {'workspace_enabled': '0'}}
✓ D326DB01-7269-4293-B87B-2ECA40279266 | 刪除 0 項 | quota=0 B | user_settings={'recommendations': {'enabled': '0'}, 'text': {'workspace_enabled': '0'}}
✓ 7517FEDE-8DBB-4D3C-AE2C-555A1DFD15A0 | 刪除 0 項 | quota=0 B | user_settings={'recommendations': {'enabled': '0'}, 'text': {'workspace_enabled': '0'}}
✓ 6BEF739C-E8CB-4DFE-93D0-D6C43002990D | 刪除 0 項 | quota=0 B | user_settings={'recommendations': {'enabled': '0'}, 'text': {'workspace_enabled': '0'}}
✓ 4B73D839-9D9A-4A4A-BB3C-92AA57BC1843 | 刪除 0 項 | quota=0 B | user_settings={'recommendations': {'enabled': '0'}, 'text': {'workspace_enabled': '0'}}
✓ 22FEBA51-F163-4F45-8102-DE9353F328A2 | 刪除 0 項 | quota=0 B | user_settings={'recommendations': {'enabled': '0'}, 'text': {'workspace_enabled': '0'}}
✓ AA6C48FD-B42D-4315-8D06-F906CF471E8D | 刪除 0 項 | quota=0 B | user_settings={'recommendations': {'enabled': '0'}, 'text': {'workspace_enabled': '0'}}
✓ 310689F0-A5D8-411F-83EF-D12B02F8EC37 | 刪除 0 項 | quota=0 B | user_settings={'recommendations': {'enabled': '0'}, 'text': {'workspace_enabled': '0'}}
✓ 04944EBF-D4C5-46E3-BE74-D451CF640B98 | 刪除 0 項 | quota=0 B | user_settings={'recommendations': {'enabled': '0'}, 'text': {'workspace_enabled': '0'}}
✓ 55A49669-2936-47C3-BA5B-17FD546D919E | 刪除 0 項 | quota=0 B | user_settings={'recommendations': {'enabled': '0'}, 'text': {'workspace_enabled': '0'}}
✓ BED049FA-B264-4614-A54E-420A4A2B56A3 | 刪除 0 項 | quota=0 B | user_settings={'recommendations': {'enabled': '0'}, 'text': {'workspace_enabled': '0'}}
✓ FC9EAE91-5D8A-45D5-A838-DFE3280AFF4E | 刪除 0 項 | quota=0 B | user_settings={'recommendations': {'enabled': '0'}, 'text': {'workspace_enabled': '0'}}
✓ E9EF04C1-E081-4226-80F5-7710A8BCC8A0 | 刪除 0 項 | quota=0 B | user_settings={'recommendations': {'enabled': '0'}, 'text': {'workspace_enabled': '0'}}
✓ 423BB46E-8B92-4CAB-8238-BBF40280CA68 | 刪除 0 項 | quota=0 B | user_settings={'recommendations': {'enabled': '0'}, 'text': {'workspace_enabled': '0'}}
